,Ville,Nombre de requetes mensuelles totales,Nombre etablissement booking,Score,Latitude,Longitude,geometry
3,aljezur,5550.0,27,205.55555555555557,37.3151549,-8.8040533,POINT (-8.8040533 37.3151549)
4,altura,5050.0,15,336.6666666666667,37.17651,-7.49999,POINT (-0.5128608 39.8512304)
5,alvor,5500.0,47,117.02127659574468,37.129109,-8.5929383,POINT (-8.5929383 37.129109)
6,apúlia,500.0,14,35.714285714285715,41.48475,-8.77764,POINT (16.6210027 40.9842539)
7,arada,50.0,10,5.0,40.91669,-8.60029,POINT (-88.35729487860954 14.85689045)
8,arcozelo,5000.0,2,2500.0,41.5423601,-8.6127013,POINT (-8.6127013 41.5423601)
9,areosa,500.0,938,0.5330490405117271,41.7191326,-8.8554855,POINT (-8.8554855 41.7191326)
10,armação de pêra,550.0,34,16.176470588235293,37.1042384,-8.3627308,POINT (-8.3627308 37.1042384)
11,arriates,0.0,7,0.0,36.7107677,-6.4303702,POINT (-6.4303702 36.7107677)
12,asseiceira,50.0,1,50.0,39.5249815,-8.4024886,POINT (-8.4024886 39.5249815)
13,azenha do mar,0.0,2,0.0,37.4643137,-8.7974017,POINT (-8.7974017 37.4643137)
14,azenhas,0.0,2,0.0,40.6279366,-8.5307495,POINT (-8.5307495 40.6279366)
15,azóia,0.0,2,0.0,38.4285467,-9.1870568,POINT (-9.1870568 38.4285467)
16,belinho,0.0,4,0.0,41.5884171,-8.7827997,POINT (-8.7827997 41.5884171)
17,bordeira,500.0,2,250.0,37.2009557,-8.842102243912366,POINT (-8.842102243912366 37.2009557)
18,buarcos,550.0,5,110.0,40.1649599,-8.8751034,POINT (-8.8751034 40.1649599)
19,burgau,5000.0,6,833.3333333333334,37.074493,-8.777861,POINT (16.0985464 47.1430636)
20,cabanas,5050.0,15,336.6666666666667,37.135483,-7.599239,POINT (2.3050878 44.1855114)
21,cacela velha,500.0,98,5.1020408163265305,37.1572894,-7.5461303,POINT (-7.5461303 37.1572894)
22,caminha,5500.0,27,203.7037037037037,41.8757598,-8.8388375,POINT (-8.8388375 41.8757598)
23,carcavelos,5500.0,14,392.8571428571428,38.6900906,-9.3346828,POINT (-9.3346828 38.6900906)
24,carreço,0.0,2,0.0,41.7486285,-8.8622634,POINT (-8.8622634 41.7486285)
25,carvalhal,500.0,4,125.0,41.5104,-8.6350483,POINT (-8.6350483 41.5104)
26,carvoeira,100.0,1,100.0,38.942756,-9.3965784,POINT (-9.3965784 38.942756)
27,carvoeiro,5500.0,49,112.24489795918367,37.0970567,-8.4711093,POINT (-8.4711093 37.0970567)
28,casa do infantado,0.0,1698,0.0,38.50860465,-9.175057178857251,POINT (-9.175057178857253 38.508604649999995)
